Fee-Orders reports from 01-01-2025 to 12-24-2025
ストア,商品名,ASIN,日付,数量,価格,リンクタイプ,トラッキングID,商品リンク経由,デバイスの種類
服&ファッション小物,[グンゼ] インナーシャツ 長袖 メリノウール インナー あったかい 日本製 保温 メンズ CK7308 L ブラック,B0DLKG71YK,2025-12-24 00:00:00,1,5118.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,PHONE
ヘルスケア&家庭用品,【指定第2類医薬品】ボラギノールA注入軟膏 2g×10個入,B0BXWDX213,2025-12-24 00:00:00,1,1570.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,PHONE
ビューティー&グルーミング,GUM(ガム) 歯周プロケア ソフトピック カーブ型 歯間ブラシ やわらか ゴムタイプ ケース付き [サイズ:SSS~S 細いタイプ] 30本入×4個パック+おまけ付き,B07B66RX3L,2025-12-23 00:00:00,1,1070.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,DESKTOP
キッチン&ダイニング,加湿器 超音波 ブルー ミッフィー えんとつのお家 卓上 コンパクト オフィス ミニ 大容量 超音波式 小型 ライト付き かわいい 上部給水 一人暮らし 450ml お手入れ簡単 充電式 USB給電 選べる３色,B0CPM9GVNB,2025-12-23 00:00:00,1,2709.00,Text Only Image Only Text and Image Links,daily-gadget-22,di,TABLET
キッチン&ダイニング,卓上加湿器 450mL USBポート LED デュアルノズルスプレー ミッフィー加湿器 静音 持ち運び便利 小型 車載加湿 調整 お手入れ簡単 空気清浄 空焚き防止 乾燥/花粉症対策 寝室/オフィス/車載 家庭適用/リビング用 ギフト (pink 1),B0FQ5M5Q5X,2025-12-23 00:00:00,1,2726.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,TABLET
おもちゃ&ホビー,ポケットモンスター ALL STAR COLLECTION デンリュウ (S) ぬいぐるみ 高さ19cm,B01FRS5J46,2025-12-23 00:00:00,1,1787.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,PHONE
オフィス用品&文房具,手帳 2026 スケジュール帳 2026年1月始まり 月間ブロック B5変型 ノートブックカレンダー・M パープル マークス 26WDR-NB1-PL,B0F3XJM85J,2025-12-23 00:00:00,1,1100.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,PHONE
楽器,AI ボイスレコーダー 文字起こし無料 オフラインモデルある AIライティングレコーダー AI要約 AI翻訳 発言者識別 ノイズキャンセリング 録音機 小型 高感度 議事録自動作成 録音したデータ翻訳 高精度な音声認識テクノロジー搭載 ICレコーダー 会議・大学講義・ゼミに最適,B0FKMPL85F,2025-12-23 00:00:00,1,13908.00,Text Only Image Only Text and Image Links,daily-gadget-22,di,DESKTOP
書籍&テキスト,2026年度版 みんなが欲しかった！ 行政書士の最重要論点150【赤シートつき/要点整理型テキスト/試験直前期対応】(TAC出版) (みんなが欲しかった！行政書士シリーズ),4300119856,2025-12-23 00:00:00,1,1500.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,PHONE
書籍&テキスト,2026年度版 みんなが欲しかった！ 行政書士の肢別問題集 (みんなが欲しかった！行政書士シリーズ),4300119864,2025-12-23 00:00:00,1,2400.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,PHONE
ヘルスケア&家庭用品,【第1類医薬品】ロキソニンS 12錠,B00F9S0D14,2025-12-22 00:00:00,1,508.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,DESKTOP
服&ファッション小物,[§Ｄ∞ｄｅｌ　ｌｅｏｎｅ＼ｇｏｄｅｒｓｉ　ｌａ　ｖｉｔａ] [デルレオーネ] 先染め トランクス メンズ 抗菌防臭加工 2枚 4枚 6枚 セット 前開き ボタン付き 綿100％ (6枚セット M),B089LZB77W,2025-12-22 00:00:00,1,1805.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,DESKTOP
食品&飲料、グルメ,2025年産 青森県産りんご ご家庭用 訳あり 星の金貨 超希少品種 高糖度 アップルロード工藤農園 (5kg),B08YDS2YT8,2025-12-22 00:00:00,1,4056.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,PHONE
食品&飲料、グルメ,クノール 毎日スープ ポタージュ 16袋入箱 味の素 野菜スープ インスタント スープ 大容量 即席 非常食 備蓄,B0DC9FZFHT,2025-12-22 00:00:00,1,642.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,PHONE
おもちゃ&ホビー,サンリオ(SANRIO) キッズリュックM クロミ 子供 遠足 名前スペース付き 505765,B0DPBT5LH1,2025-12-22 00:00:00,1,3824.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,PHONE
Kindle書籍,ウマ娘 シンデレラグレイ 22 (ヤングジャンプコミックスDIGITAL),B0FZHVY9ZM,2025-12-22 00:00:00,1,665.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,PHONE
Kindle書籍,あくまでクジャクの話です。（６） (コミックＤＡＹＳコミックス),B0G4CHHCT7,2025-12-22 00:00:00,1,720.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,PHONE
Kindle書籍,平成敗残兵すみれちゃん（８） (ヤングマガジンコミックス),B0G37NRF35,2025-12-22 00:00:00,1,720.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,PHONE
おもちゃ&ホビー,インディゴ クリスマス ラッピング袋 グリーティングバッグLL ギフトベア ダークグリーン XG076,B0D73VG5D3,2025-12-21 00:00:00,1,720.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,PHONE
ヘルスケア&家庭用品,ニチバン 救急絆創膏 ケアリーヴ ビッグサイズ(関節部用) 60mm×80mm CL7B,B000FQU6NU,2025-12-21 00:00:00,1,283.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,PHONE
電子部品&ホームオーディオ,エレコム ワイヤレスキーボード Precisionist プレシジョニスト Bluetooth 無線2.4GHz マルチペアリング4台 充電式 薄型パンタグラフ式 ミニサイズ ブラック TK-PN1075MPABK,B0FL77NZXM,2025-12-21 00:00:00,1,6536.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,DESKTOP
テレビゲーム,【任天堂純正品】Nintendo Switch 2 Proコントローラー 【Amazon.co.jp限定特典】Nintendo Switch 2 ロゴデザインステッカー 同梱,B0F54NGNRK,2025-12-21 00:00:00,1,9073.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,DESKTOP
携帯電話&アクセサリ,スピーカーメッシュ 防塵メタルガード イヤーピース メッシュダストカバー iPad Pro 11インチ 13インチ、iPad Air 6、Air 5、Air 4、Mini 6、Mini 7 2024用 (2セット/ブラック),B097Q7CD83,2025-12-21 00:00:00,1,1817.00,Text Only Image Only Text and Image Links,daily-gadget-22,ndi,PHONE
